7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adw-gtk-theme-git 5.10.r5.g4524efc-1
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
aircrack-ng 1.7-5
alsa-card-profiles 1:1.4.2-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-1
android-tools 35.0.2-14
android-udev 20250314-1
anyrun-git r200.06017e7-1
aom 3.12.1-1
appstream 1.0.5-1
appstream-glib 0.8.3-2
aquamarine 0.8.0-3
archlinux-keyring 20250123-1
arduino-cli 1.1.1-1
argon2 20190702-6
arianna 25.04.0-1
aribb24 1.0.3-4
at-spi2-core 2.56.1-1
atkmm 2.28.4-1
attica 6.13.0-1
attica5 5.116.0-1
attr 2.5.2-1
audiocd-kio 25.04.0-1
audit 4.0.3-1
auto-cpufreq 2.5.0-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
axel 2.17.14-1
babl 0.1.112-1
baloo 6.13.0-1
baloo-widgets 25.04.0-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bc 1.08.1-1
bcg729 1.1.1-2
beekeeper-studio 1:5.1.5-1
beekeeper-studio-debug 1:5.1.5-1
bettercap 2.41.0-1
bind 9.20.8-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blueberry 1.4.8-2
blueman 2.4.4-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-tools 0.2.0-6
bluez-utils 5.82-1
bolt 0.9.8-1
boost-libs 1.87.0-3
brave-bin 1:1.77.101-1
breeze-icons 6.13.0-1
brightnessctl 0.5.1-3
brltty 6.7-5
brotli 1.1.0-3
bubblewrap 0.11.0-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.6-1
cblas 3.12.1-2
cdparanoia 10.2-9
chromaprint 1.5.1-10
cifs-utils 7.3-1
clang 19.1.7-1
cliphist 1:0.6.1-1
clucene 2.3.3.4-16
cmake 4.0.1-1
cmark 0.31.1-1
cmatrix 2.0-3
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-kde 25.04.0-1
compiler-rt 19.1.7-1
composefs 1.0.7-1
containerd 2.0.5-1
convertlit 1.8-12
coreutils 9.7-1
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-2
cups-pk-helper 0.2.7-2
curl 8.13.0-2
dart-sass 1.86.3-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dconf 0.40.0-3
ddcutil 2.2.0-1
ddrescue 1.29.1-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
dialog 1:1.3_20250116-1
diffutils 3.12-2
discord 1:0.0.92-1
dkms 3.1.8-1
dmidecode 3.6-1
dnssec-anchors 20190629-4
docker 1:28.1.1-1
docker-compose 2.35.1-1
dolphin 25.04.0-2
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.5.1-1
dtc 1.7.2-3
duktape 2.7.0-7
dynamips 0.2.23-1
e2fsprogs 1.47.2-2
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
edk2-aarch64 202411-1
edk2-arm 202411-1
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.19-1
egl-x11 1.0.1-1
eglexternalplatform 1.2.1-1
electron31 31.7.7-3
electron34 34.5.0-2
elfutils 0.192-4
ell 0.76-1
enchant 2.8.2-2
ethtool 1:6.11-1
exempi 2.6.6-1
exiv2 0.28.5-1
exo 4.20.0-2
expat 2.7.1-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
fastfetch 2.41.0-1
fcft 3.3.1-1
feroxbuster 2.11.0-1
ffmpeg 2:7.1-10
ffmpeg4.4 4.4.5-4
